Minister of Defence,Office of the Chief of Defence Staff
"Minister of Education, Science and Technology",Sri Lanka Publication Development Board
"Minister of Education, Science and Technology",State Printing Corporation
"Minister of Education, Science and Technology",Directorates of Education
"Minister of Education, Science and Technology",National Education Commission
"Minister of Education, Science and Technology",National Institute of Education
"Minister of Education, Science and Technology",Pirivena Education Board
"Minister of Education, Science and Technology",National Institute of Business Management and affiliated institutions
"Minister of Education, Science and Technology",University of Vocational Technology
"Minister of Education, Science and Technology",National Institute of Fisheries and Nautical Engineering (Ocean University)
"Minister of Education, Science and Technology",Vocational Training Authority of Sri Lanka
"Minister of Education, Science and Technology",National Apprenticeship and Industrial Training Authority
"Minister of Education, Science and Technology",Ceylon German Technical Training Institute
"Minister of Education, Science and Technology",Department of Technical Education and Training
"Minister of Education, Science and Technology",Tertiary and Vocational Education Commission
"Minister of Education, Science and Technology",University Grants Commission
"Minister of Education, Science and Technology",Buddhashravaka Bhikku University
"Minister of Education, Science and Technology",Buddhist and Pali University of Sri Lanka
Minister of Health,National Health Council
Minister of Health,Medical Research Institute
Minister of Health,National Institute of Health Sciences
Minister of Health,Sri Lanka Medical Council
Minister of Health,Sri Lanka Medical College Council
Minister of Health,Private Health Services Regulatory Council
Minister of Health,Department of Health Services
Minister of Health,"All National, Teaching and Specific Government Hospitals"
Minister of Health,School of Medical Laboratory Technology
Minister of Health,"National Institute of Nephrology, Dialysis and Transplantation"
Minister of Health,Sri Jayawardenepura General Hospital
Minister of Health,Vijaya Kumaratunga Memorial Hospital
Minister of Public Security,Sri Lanka Police
Minister of Public Security,National Police Academy
Minister of Public Security,Secretariat for Non-Governmental Organizations
Minister of Public Security,Department of Registration of Persons
Minister of Public Security,Department of Immigration and Emigration
Minister of Public Security,National Dangerous Drugs Control Board
Minister of Foreign Affairs,Diplomatic Missions in abroad
Minister of Foreign Affairs,National Oceanic Affairs Committee Secretariat
Minister of Foreign Affairs,Lakshman Kadirgamar Institute for International Relations and Strategic Studies
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Central Environmental Authority
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Geological Survey and Mines Bureau
