Minister of Defence,Office of the Chief of Defence Staff
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Legal Aid Commission of Sri Lanka
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Mediation Boards Commission
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Council of Legal Education
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Commercial Mediation Centre of Sri Lanka
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Sri Lanka International Arbitration Centre (Guarantee) Ltd.
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",National Authority for the Protection of Victims of Crime and Witnesses
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Department of Prisons
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Community Based Correction Department
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Training Schools for Youthful Offenders
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Rehabilitation Commissioner General's Office
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Department of Pensions
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Sri Lanka Institute of Development Administration
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Distance Learning Centre Ltd.
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",National Human Resources Development Council of Sri Lanka
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Public Service Pensioners' Trust Fund
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Local Government Service Pension Fund
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Local Government Widows' and Orphans' Pension Fund
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Local Government Widowers' and Orphans' Pension Fund
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",All District Secretariats and Divisional Secretariats
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Department of Registrar General
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Sri Lanka Institute of Local Government
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Local Loans and Development Fund
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Department of Labour
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",National Institute of Labour Studies
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",National Institute for Occupational Safety and Health
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Office of the Commissioner of Workmen's Compensation
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",National Productivity Secretariat
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Shrama Vasana Fund
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Department of Manpower and Employment
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Sri Lanka Foreign Employment Bureau
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",Foreign Employment Agency of Sri Lanka (Pvt.) Ltd
"Minister of Education, Science and Technology",Department of Examinations
"Minister of Education, Science and Technology",Department of Educational Publications
"Minister of Education, Science and Technology",National Library and Documentation Services Board
"Minister of Education, Science and Technology",National Colleges of Education
"Minister of Education, Science and Technology",Teachers' College
"Minister of Education, Science and Technology",UNESCO National Commission of Sri Lanka
"Minister of Education, Science and Technology",Sri Lanka Publication Development Board
"Minister of Education, Science and Technology",State Printing Corporation
"Minister of Education, Science and Technology",Directorates of Education
"Minister of Education, Science and Technology",National Education Commission
"Minister of Education, Science and Technology",National Institute of Education
"Minister of Education, Science and Technology",Pirivena Education Board
"Minister of Education, Science and Technology",National Institute of Business Management and affiliated institutions
"Minister of Education, Science and Technology",University of Vocational Technology
"Minister of Education, Science and Technology",National Institute of Fisheries and Nautical Engineering (Ocean University)
"Minister of Education, Science and Technology",Vocational Training Authority of Sri Lanka
"Minister of Education, Science and Technology",National Apprenticeship and Industrial Training Authority
"Minister of Education, Science and Technology",Ceylon German Technical Training Institute
"Minister of Education, Science and Technology",Department of Technical Education and Training
"Minister of Education, Science and Technology",Tertiary and Vocational Education Commission
"Minister of Education, Science and Technology",University Grants Commission
"Minister of Education, Science and Technology","All State universities, Postgraduate Institutions and other Institutions under the purview of university Grants All State universities, Postgraduate Institutions and other Institutions under the purview of university Grants Commission"
"Minister of Education, Science and Technology",Buddhashravaka Bhikku University
"Minister of Education, Science and Technology",Buddhist and Pali University of Sri Lanka
"Minister of Education, Science and Technology",Sri Lanka Institute of Advanced Technological Education
"Minister of Education, Science and Technology",National Institute of Fundamental Studies
